"","Year","Country","CountryCode","StudentProtestCount","AllProtestCount","Control of Corruption: Estimate","Government Effectiveness: Estimate","Political Stability and Absence of Violence/Terrorism: Estimate","Political Stability and Absence of Violence/Terrorism: Estimate.1"
"200",2018,"Nigeria","NI",20,15539,"-1.051078","-1.018126","-2.101823","-0.8801294"
"201",2018,"Pakistan","PK",56,18813,"-0.785426","-0.6311114","-2.269401","-0.6735412"
"202",2018,"Philippines","RP",10,4515,"-0.5422267","0.0531931","-1.092062","-0.4749934"
"203",2018,"Poland","PL",8,6036,"0.6541066","0.5629848","0.4925416","0.4204909"
"204",2018,"Qatar","QA",2,1099,"0.7255781","0.6294053","0.6635707","0.7347725"
"205",2018,"Russia","RS",2,36312,NA,NA,NA,NA
"206",2018,"Sierra Leone","SL",1,450,"-0.4900537","-1.143427","-0.0852979","-0.7672427"
"207",2018,"South Africa","SF",20,11008,"-0.0258746","0.3326285","-0.2277793","-0.1022561"
"208",2018,"Sri Lanka","CE",3,2723,"-0.3320415","-0.232434","-0.1452709","0.0257045"
"209",2018,"Sudan","SU",10,3628,"-1.419316","-1.611979","-1.823437","-1.119601"
"210",2018,"Syria","SY",2,13611,NA,NA,NA,NA
"211",2018,"Turkey","TU",1,15655,"-0.3298205","0.0062523","-1.318893","-0.3175219"
"212",2018,"Ukraine","UP",1,24129,"-0.8676912","-0.413667","-1.869737","-0.7160582"
"213",2018,"United Kingdom","UK",5,30574,"1.844666","1.398906","0.0797425","1.642386"
"214",2018,"United States","US",50,170191,"1.328869","1.575724","0.4214178","1.514515"
"215",2018,"Venezuela","VE",1,10712,NA,NA,NA,NA
"216",2018,"Vietnam","VM",1,3260,"-0.4807368","-0.0013799","0.0585088","-0.0036924"
"217",2018,"Zimbabwe","ZI",1,3141,"-1.230871","-1.19821","-0.7227737","-1.272543"
"218",2018,NA,"OD",9,397,NA,NA,NA,NA
"219",2019,"Afghanistan","AF",4,3217,"-1.400733","-1.463065","-2.655531","-1.713714"
"220",2019,"Algeria","AG",1,10221,"-0.6211485","-0.5163999","-1.044343","-0.8157083"
"221",2019,"Armenia","AM",2,2161,"-0.1782838","-0.0666463","-0.4134244","-0.13098"
"222",2019,"Australia","AS",1,9940,"1.825413","1.571555","0.9117457","1.734473"
"223",2019,"Bangladesh","BG",112,6472,"-0.9934731","-0.7402849","-0.9329753","-0.6363772"
"224",2019,"Belarus","BO",2,1830,"-0.0375447","-0.1843532","0.3323891","-0.7943493"
"225",2019,"Benin","BN",11,521,"-0.3385691","-0.4411183","-0.412668","-0.6637715"
"226",2019,"Cambodia","CB",1,486,"-1.279862","-0.58005","-0.0894939","-0.9357082"
"227",2019,"Canada","CA",13,12279,"1.767164","1.731293","1.016768","1.760273"
"228",2019,"China","CH",21,28521,"-0.2951186","0.5170006","-0.2566892","-0.2746037"
"229",2019,"Colombia","CO",1,6581,"-0.2363339","0.0707119","-0.9495016","-0.4168378"
"230",2019,"Czechia","EZ",1,3063,NA,NA,NA,NA
"231",2019,"Eswatini","WZ",1,118,"-0.4902496","-0.6789486","-0.2745529","-0.5019525"
"232",2019,"Ethiopia","ET",2,2096,"-0.4061424","-0.6343808","-1.305073","-0.4733813"
"233",2019,"Finland","FI",1,896,"2.1532","2.006594","0.8516567","2.058016"
"234",2019,"Gambia","GA",2,494,NA,NA,NA,NA
"235",2019,"Germany","GM",4,13525,"1.903284","1.531162","0.5743086","1.620687"
"236",2019,"Ghana","GH",3,2166,"-0.0980888","-0.2106433","0.1344119","0.0473358"
"237",2019,"Hong Kong SAR China","HK",13,19347,NA,NA,NA,NA
"238",2019,"India","IN",283,63063,"-0.2540472","0.1708809","-0.7708004","-0.0304647"
"239",2019,"Indonesia","ID",3,7186,"-0.4160329","0.1820512","-0.4934046","-0.3424213"
"240",2019,"Iran","IR",6,14808,NA,NA,NA,NA
"241",2019,"Iraq","IZ",4,14380,"-1.336654","-1.336643","-2.603781","-1.722623"
"242",2019,"Ireland","EI",2,6035,"1.494599","1.291792","0.9663891","1.383474"
"243",2019,"Israel","IS",10,25288,"0.8063501","1.325325","-0.7933716","1.047764"
"244",2019,"Italy","IT",1,11804,"0.2645699","0.4831744","0.4043851","0.3032814"
"245",2019,"Kenya","KE",8,2657,"-0.7865493","-0.3833902","-1.101751","-0.4542259"
"246",2019,"Kuwait","KU",2,501,"-0.1321924","0.0182124","0.1926405","0.2156609"
"247",2019,"Liberia","LI",5,604,"-0.8906205","-1.374943","-0.3314337","-0.9952623"
"248",2019,"Malawi","MI",2,1632,"-0.7845694","-0.7496988","-0.2801754","-0.3310178"
"249",2019,"Malaysia","MY",1,2002,"0.2520592","0.9974676","0.1438768","0.5916137"
"250",2019,"Mexico","MX",2,13007,"-0.8269345","-0.156787","-0.8369034","-0.6580054"
"251",2019,"Morocco","MO",1,2049,"-0.2890898","-0.1194802","-0.3398933","-0.1353823"
"252",2019,"Netherlands","NL",2,3110,"1.906103","1.803272","0.8475496","1.77776"
"253",2019,"New Zealand","NZ",3,2922,"2.170174","1.670557","1.411302","1.885101"
"254",2019,"Nigeria","NI",39,13681,"-1.101318","-1.088863","-1.920183","-0.8980616"
"255",2019,"North Korea","KN",2,1178,NA,NA,NA,NA
"256",2019,"Norway","NO",1,1879,"2.073593","1.861935","1.170565","1.9853"
"257",2019,"Pakistan","PK",22,17629,"-0.8666273","-0.6771356","-2.265187","-0.6674315"
"258",2019,"Philippines","RP",1,4072,"-0.5730505","0.0520084","-0.9151124","-0.4769835"
"259",2019,"Poland","PL",2,4570,"0.6421292","0.534801","0.5636535","0.4312604"
"260",2019,"South Africa","SF",58,11709,"0.0729309","0.3676561","-0.2676704","-0.0761623"
"261",2019,"South Korea","KS",1,4089,NA,NA,NA,NA
"262",2019,"Sri Lanka","CE",3,2369,"-0.2891587","-0.1143393","-0.2176228","-0.0118801"
"263",2019,"Sudan","SU",8,16528,"-1.365432","-1.622059","-1.701787","-1.140721"
"264",2019,"Uganda","UG",2,1086,"-1.169366","-0.5854658","-0.6912174","-0.314339"
"265",2019,"Ukraine","UP",1,18805,"-0.7559236","-0.297047","-1.423576","-0.6982756"
"266",2019,"United Kingdom","UK",11,39169,"1.785975","1.482738","0.5397319","1.606702"
"267",2019,"United States","US",37,145670,"1.215634","1.488845","0.1349753","1.46136"
"268",2019,"Vietnam","VM",1,2166,"-0.5156115","0.0383097","0.0254956","-0.0165804"
"269",2020,"Afghanistan","AF",1,2426,"-1.475405","-1.523115","-2.729808","-1.807697"
"270",2020,"Bangladesh","BG",5,3674,"-0.9782742","-0.7878783","-0.9173985","-0.5731802"
"271",2020,"Belarus","BO",4,15867,"-0.1682376","-0.7293182","-0.7303549","-0.9959167"
"272",2020,"Canada","CA",3,11989,"1.597707","1.644323","1.109246","1.655119"
"273",2020,"China","CH",4,20424,"-0.0658865","0.6479592","-0.291068","-0.0595887"
"274",2020,"Hong Kong SAR China","HK",3,5880,NA,NA,NA,NA
"275",2020,"India","IN",185,50935,"-0.2448308","0.3865438","-0.8619818","-0.0177096"
"276",2020,"Iran","IR",4,12945,NA,NA,NA,NA
"277",2020,"Iraq","IZ",3,9488,"-1.283775","-1.32672","-2.528343","-1.753684"
"278",2020,"Ireland","EI",1,3095,"1.566898","1.480219","0.9751874","1.498885"
"279",2020,"Mexico","MX",3,10851,"-0.8476247","-0.1550609","-0.8500293","-0.670108"
"280",2020,"Myanmar (Burma)","BM",11,410,NA,NA,NA,NA
"281",2020,"Nigeria","NI",6,15934,"-1.09688","-1.029475","-1.859349","-0.8124883"
"282",2020,"Pakistan","PK",26,12976,"-0.8403147","-0.5459959","-1.853356","-0.6917597"
"283",2020,"Poland","PL",1,5657,"0.6507944","0.3764992","0.5743839","0.5398862"
"284",2020,"Qatar","QA",1,437,"0.7839146","0.9082767","0.6707044","1.000929"
"285",2020,"Slovakia","LO",1,553,NA,NA,NA,NA
"286",2020,"South Africa","SF",22,8200,"0.0640369","0.2993964","-0.2368584","-0.1154166"
"287",2020,"South Korea","KS",1,2729,NA,NA,NA,NA
"288",2020,"Thailand","TH",1,4359,"-0.4222212","0.3007005","-0.6245449","0.1213088"
"289",2020,"Tunisia","TS",4,1530,"-0.0680283","-0.2039159","-0.6339517","0.1375134"
"290",2020,"Ukraine","UP",2,13476,"-0.7841346","-0.3556524","-1.164059","-0.6700379"
"291",2020,"United Arab Emirates","AE",1,938,"1.114396","1.325503","0.6264683","0.9169419"
"292",2020,"United Kingdom","UK",8,27534,"1.692274","1.376632","0.4743571","1.496935"
"293",2020,"United States","US",19,246280,"1.068838","1.318942","-0.0220327","1.368086"
"294",2020,"Vietnam","VM",2,1857,"-0.3527095","0.2003077","-0.0734304","-0.133932"
