"","Year","Country","StudentProtestCount","AllProtestCount","Control.of.Corruption..Estimate","Government.Effectiveness..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate.1","income","protest.ratio"
"160",2018,"Nigeria",20,15539,-1.051078,-1.018126,-2.101823,-0.8801294,1645.44,0.00128708411094665
"161",2018,"Pakistan",56,18813,-0.785426,-0.6311114,-2.269401,-0.6735412,1368.338,0.00297666507202466
"162",2018,"Philippines",10,4515,-0.5422267,0.0531931,-1.092062,-0.4749934,3283.595,0.00221483942414175
"163",2018,"Poland",8,6036,0.6541066,0.5629848,0.4925416,0.4204909,13029.71,0.00132538104705103
"164",2018,"Qatar",2,1099,0.7255781,0.6294053,0.6635707,0.7347725,49682.17,0.00181983621474067
"165",2018,"Sierra Leone",1,450,-0.4900537,-1.143427,-0.0852979,-0.7672427,435.4164,0.00222222222222222
"166",2018,"South Africa",20,11008,-0.0258746,0.3326285,-0.2277793,-0.1022561,5742.958,0.00181686046511628
"167",2018,"Sri Lanka",3,2723,-0.3320415,-0.232434,-0.1452709,0.0257045,3656.207,0.00110172603745869
"168",2018,"Sudan",10,3628,-1.419316,-1.611979,-1.823437,-1.119601,616.4846,0.00275633958103638
"169",2018,"Ukraine",1,24129,-0.8676912,-0.413667,-1.869737,-0.7160582,2727.716,4.14439056736707e-05
"170",2018,"United States",50,170191,1.328869,1.575724,0.4214178,1.514515,53665.7,0.000293787568085269
"171",2018,"Vietnam",1,3260,-0.4807368,-0.0013799,0.0585088,-0.0036924,2026.25,0.000306748466257669
"172",2018,"Zimbabwe",1,3141,-1.230871,-1.19821,-0.7227737,-1.272543,1063.107,0.000318369945877109
"173",2019,"Afghanistan",4,3217,-1.400733,-1.463065,-2.655531,-1.713714,463.9638,0.00124339446689462
"174",2019,"Algeria",1,10221,-0.6211485,-0.5163999,-1.044343,-0.8157083,3151.925,9.78377849525487e-05
"175",2019,"Armenia",2,2161,-0.1782838,-0.0666463,-0.4134244,-0.13098,4026.739,0.000925497454881999
"176",2019,"Australia",1,9940,1.825413,1.571555,0.9117457,1.734473,42458.84,0.000100603621730382
"177",2019,"Bangladesh",112,6472,-0.9934731,-0.7402849,-0.9329753,-0.6363772,1916.022,0.0173053152039555
"178",2019,"Belarus",2,1830,-0.0375447,-0.1843532,0.3323891,-0.7943493,5629.656,0.00109289617486339
"179",2019,"Benin",11,521,-0.3385691,-0.4411183,-0.412668,-0.6637715,1073.624,0.0211132437619962
"180",2019,"Cambodia",1,486,-1.279862,-0.58005,-0.0894939,-0.9357082,1379.913,0.00205761316872428
"181",2019,"Canada",13,12279,1.767164,1.731293,1.016768,1.760273,37844.51,0.00105871813665608
"182",2019,"China",21,28521,-0.2951186,0.5170006,-0.2566892,-0.2746037,7551.083,0.000736299568738824
"183",2019,"Colombia",1,6581,-0.2363339,0.0707119,-0.9495016,-0.4168378,5298.032,0.000151952590791673
"184",2019,"Eswatini",1,118,-0.4902496,-0.6789486,-0.2745529,-0.5019525,2941.297,0.00847457627118644
"185",2019,"Ethiopia",2,2096,-0.4061424,-0.6343808,-1.305073,-0.4733813,730.7364,0.000954198473282443
"186",2019,"Finland",1,896,2.1532,2.006594,0.8516567,2.058016,39680.48,0.00111607142857143
"187",2019,"Germany",4,13525,1.903284,1.531162,0.5743086,1.620687,39618.28,0.000295748613678373
"188",2019,"Ghana",3,2166,-0.0980888,-0.2106433,0.1344119,0.0473358,1776.259,0.00138504155124654
"189",2019,"India",283,63063,-0.2540472,0.1708809,-0.7708004,-0.0304647,1834.724,0.00448757591614734
"190",2019,"Indonesia",3,7186,-0.4160329,0.1820512,-0.4934046,-0.3424213,3292.372,0.000417478430281102
"191",2019,"Iraq",4,14380,-1.336654,-1.336643,-2.603781,-1.722623,4553.573,0.000278164116828929
"192",2019,"Ireland",2,6035,1.494599,1.291792,0.9663891,1.383474,43085.8,0.000331400165700083
"193",2019,"Israel",10,25288,0.8063501,1.325325,-0.7933716,1.047764,38005.3,0.000395444479595065
"194",2019,"Italy",1,11804,0.2645699,0.4831744,0.4043851,0.3032814,28026.55,8.4717045069468e-05
"195",2019,"Kenya",8,2657,-0.7865493,-0.3833902,-1.101751,-0.4542259,1564.272,0.00301091456529921
"196",2019,"Liberia",5,604,-0.8906205,-1.374943,-0.3314337,-0.9952623,355.047,0.00827814569536424
"197",2019,"Malawi",2,1632,-0.7845694,-0.7496988,-0.2801754,-0.3310178,516.6208,0.00122549019607843
"198",2019,"Malaysia",1,2002,0.2520592,0.9974676,0.1438768,0.5916137,8047.001,0.0004995004995005
"199",2019,"Mexico",2,13007,-0.8269345,-0.156787,-0.8369034,-0.6580054,7730.323,0.000153763358191743
"200",2019,"Morocco",1,2049,-0.2890898,-0.1194802,-0.3398933,-0.1353823,2844.48,0.000488042947779405
"201",2019,"Netherlands",2,3110,1.906103,1.803272,0.8475496,1.77776,43978.41,0.000643086816720257
"202",2019,"New Zealand",3,2922,2.170174,1.670557,1.411302,1.885101,35407.29,0.00102669404517454
"203",2019,"Nigeria",39,13681,-1.101318,-1.088863,-1.920183,-0.8980616,1834.163,0.00285066881075945
"204",2019,"Norway",1,1879,2.073593,1.861935,1.170565,1.9853,60023.61,0.000532197977647685
"205",2019,"Pakistan",22,17629,-0.8666273,-0.6771356,-2.265187,-0.6674315,1187.632,0.00124794372908276
"206",2019,"Philippines",1,4072,-0.5730505,0.0520084,-0.9151124,-0.4769835,3483.276,0.000245579567779961
"207",2019,"Poland",2,4570,0.6421292,0.534801,0.5636535,0.4312604,13293.66,0.000437636761487965
"208",2019,"South Africa",58,11709,0.0729309,0.3676561,-0.2676704,-0.0761623,5423.658,0.00495345460756683
"209",2019,"Sri Lanka",3,2369,-0.2891587,-0.1143393,-0.2176228,-0.0118801,3460.533,0.00126635711270578
"210",2019,"Sudan",8,16528,-1.365432,-1.622059,-1.701787,-1.140721,520.1662,0.000484027105517909
